TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.iluwatar.threadpool.Task,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9444444444444444,52,48
com.iluwatar.threadpool.PotatoPeelingTask,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,21,19
com.iluwatar.threadpool.PotatoPeelingTask,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,21,19
