GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
leader-election,com.iluwatar.leaderelection.ring,RingMessageManager,0,61,0,0,0,17,0,5,0,5
leader-election,com.iluwatar.leaderelection.ring,RingInstance,99,55,5,1,24,15,7,4,4,4
leader-election,com.iluwatar.leaderelection.ring,RingApp,3,120,0,0,1,25,1,1,1,1
leader-election,com.iluwatar.leaderelection,MessageType,0,64,0,0,0,7,0,1,0,1
leader-election,com.iluwatar.leaderelection,AbstractInstance,3,97,3,6,1,28,3,11,0,7
leader-election,com.iluwatar.leaderelection,AbstractMessageManager,29,52,2,4,8,13,3,4,1,3
leader-election,com.iluwatar.leaderelection.bully,BullyApp,3,120,0,0,1,25,1,1,1,1
leader-election,com.iluwatar.leaderelection.bully,BullyMessageManager,0,124,0,8,0,25,0,14,0,10
leader-election,com.iluwatar.leaderelection.bully,BullyInstance,17,117,2,8,5,29,3,11,1,8
