GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
context-object,com.iluwatar.context.object,ServiceContextFactory,3,4,0,0,1,1,1,1,1,1
context-object,com.iluwatar.context.object,LayerA,0,11,0,0,0,5,0,2,0,2
context-object,com.iluwatar.context.object,App,3,43,0,0,1,11,1,2,1,2
context-object,com.iluwatar.context.object,LayerB,0,12,0,0,0,5,0,2,0,2
context-object,com.iluwatar.context.object,LayerC,0,12,0,0,0,5,0,2,0,2
context-object,com.iluwatar.context.object,ServiceContext,0,3,0,0,0,1,0,1,0,1
