GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
identity-map,com.iluwatar.identitymap,PersonFinder,5,45,1,3,2,13,1,4,0,3
identity-map,com.iluwatar.identitymap,IdentityMap,5,56,2,4,2,14,2,6,0,5
identity-map,com.iluwatar.identitymap,App,3,90,0,0,1,19,1,2,1,2
identity-map,com.iluwatar.identitymap,IdNotFoundException,0,4,0,0,0,2,0,1,0,1
identity-map,com.iluwatar.identitymap,Person,0,8,0,0,0,1,0,1,0,1
identity-map,com.iluwatar.identitymap,PersonDbSimulatorImplementation,2,162,1,17,1,29,1,19,0,11
