GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aggregator-service,com.iluwatar.aggregator.microservices,Aggregator,0,31,0,0,0,7,0,2,0,2
aggregator-service,com.iluwatar.aggregator.microservices,ProductInventoryClientImpl,51,0,2,0,19,0,4,0,3,0
aggregator-service,com.iluwatar.aggregator.microservices,Product,0,3,0,0,0,1,0,1,0,1
aggregator-service,com.iluwatar.aggregator.microservices,App,8,0,0,0,3,0,2,0,2,0
aggregator-service,com.iluwatar.aggregator.microservices,ProductInformationClientImpl,40,0,0,0,16,0,3,0,3,0
