GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bytecode,com.iluwatar.bytecode.util,InstructionConverterUtil,16,68,2,8,5,16,3,6,1,3
bytecode,com.iluwatar.bytecode,Instruction,0,148,0,4,0,16,0,4,0,2
bytecode,com.iluwatar.bytecode,App,3,87,0,0,1,15,1,2,1,2
bytecode,com.iluwatar.bytecode,VirtualMachine,5,326,1,13,1,64,1,22,0,11
bytecode,com.iluwatar.bytecode,Wizard,0,24,0,0,0,7,0,3,0,3
