GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
template-method,com.iluwatar.templatemethod,App,3,17,0,0,1,5,1,1,1,1
template-method,com.iluwatar.templatemethod,SubtleMethod,0,19,0,0,0,7,0,5,0,5
template-method,com.iluwatar.templatemethod,HalflingThief,0,14,0,0,0,7,0,3,0,3
template-method,com.iluwatar.templatemethod,HitAndRunMethod,0,18,0,0,0,7,0,5,0,5
template-method,com.iluwatar.templatemethod,StealingMethod,0,21,0,0,0,7,0,3,0,3
