GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
log-aggregation,com.iluwatar.logaggregation,LogAggregator,30,84,5,9,13,24,5,9,1,6
log-aggregation,com.iluwatar.logaggregation,LogLevel,0,34,0,0,0,2,0,1,0,1
log-aggregation,com.iluwatar.logaggregation,LogProducer,23,0,0,0,5,0,2,0,2,0
log-aggregation,com.iluwatar.logaggregation,CentralLogStore,45,4,4,0,13,1,5,1,3,1
log-aggregation,com.iluwatar.logaggregation,App,42,0,0,0,11,0,2,0,2,0
