GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
feature-toggle,com.iluwatar.featuretoggle.user,UserGroup,3,49,2,6,1,13,3,6,1,4
feature-toggle,com.iluwatar.featuretoggle.user,User,0,3,0,0,0,1,0,1,0,1
feature-toggle,com.iluwatar.featuretoggle.pattern.tieredversion,TieredFeatureToggleVersion,0,13,0,2,0,5,0,4,0,3
feature-toggle,com.iluwatar.featuretoggle.pattern.propertiesversion,PropertiesFeatureToggleVersion,0,32,0,4,0,11,0,4,0,2
feature-toggle,com.iluwatar.featuretoggle,App,90,0,0,0,23,0,3,0,3,0
