GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
metadata-mapping,com.iluwatar.metamapping,App,3,82,0,2,1,19,1,4,1,3
metadata-mapping,com.iluwatar.metamapping.service,UserService,25,143,0,2,10,48,0,9,0,8
metadata-mapping,com.iluwatar.metamapping.utils,DatabaseUtil,28,0,0,0,10,0,1,0,1,0
metadata-mapping,com.iluwatar.metamapping.utils,HibernateUtil,0,17,0,0,0,6,0,4,0,4
metadata-mapping,com.iluwatar.metamapping.model,User,0,12,0,0,0,5,0,2,0,2
