GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
update-method,com.iluwatar.updatemethod,Statue,10,34,0,2,4,10,1,4,1,3
update-method,com.iluwatar.updatemethod,Entity,0,14,0,0,0,5,0,1,0,1
update-method,com.iluwatar.updatemethod,App,8,43,0,0,3,13,1,2,1,2
update-method,com.iluwatar.updatemethod,Skeleton,0,57,0,6,0,16,0,6,0,3
update-method,com.iluwatar.updatemethod,World,8,82,1,3,4,28,1,10,0,9
