GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
serialized-entity,com.iluwatar.serializedentity,App,12,84,0,0,4,26,0,5,0,5
serialized-entity,com.iluwatar.serializedentity,CountrySchemaSql,93,51,2,0,19,19,1,4,0,4
