GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
role-object,com.iluwatar.roleobject,BorrowerRole,3,17,0,0,1,4,1,3,1,3
role-object,com.iluwatar.roleobject,Role,7,50,0,0,3,8,0,3,0,3
role-object,com.iluwatar.roleobject,Customer,0,19,0,0,0,5,0,3,0,3
role-object,com.iluwatar.roleobject,CustomerCore,0,68,0,0,0,17,0,7,0,7
role-object,com.iluwatar.roleobject,CustomerRole,0,3,0,0,0,1,0,1,0,1
role-object,com.iluwatar.roleobject,InvestorRole,6,27,0,0,2,6,2,4,2,4
role-object,com.iluwatar.roleobject,ApplicationRoleObject,3,86,0,0,1,21,1,4,1,4
