GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cqrs,com.iluwatar.cqrs.util,HibernateUtil,15,21,0,0,5,5,1,3,1,3
cqrs,com.iluwatar.cqrs.commandes,CommandServiceImpl,16,201,2,2,4,62,2,10,0,10
cqrs,com.iluwatar.cqrs.queries,QueryServiceImpl,0,95,0,0,0,26,0,6,0,6
cqrs,com.iluwatar.cqrs.domain.model,Book,0,15,0,0,0,7,0,2,0,2
cqrs,com.iluwatar.cqrs.domain.model,Author,0,15,0,0,0,7,0,2,0,2
cqrs,com.iluwatar.cqrs.constants,AppConstants,3,0,0,0,1,0,1,0,1,0
cqrs,com.iluwatar.cqrs.app,App,114,0,0,0,28,0,3,0,3,0
