GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
composite-entity,com.iluwatar.compositeentity,CompositeEntity,0,30,0,0,0,7,0,4,0,4
composite-entity,com.iluwatar.compositeentity,ConsoleCoarseGrainedObject,0,41,0,0,0,5,0,3,0,3
composite-entity,com.iluwatar.compositeentity,CoarseGrainedObject,7,21,0,0,1,3,1,3,1,3
composite-entity,com.iluwatar.compositeentity,DependentObject,0,10,0,0,0,4,0,3,0,3
composite-entity,com.iluwatar.compositeentity,MessageDependentObject,0,3,0,0,0,1,0,1,0,1
composite-entity,com.iluwatar.compositeentity,App,0,46,0,0,0,11,0,3,0,3
composite-entity,com.iluwatar.compositeentity,SignalDependentObject,0,3,0,0,0,1,0,1,0,1
