TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.iluwatar.leaderelection.ring.RingApp,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,107,107
com.iluwatar.leaderelection.ring.RingInstance,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.726677470920892,161,100
com.iluwatar.leaderelection.ring.RingApp,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,107,107
com.iluwatar.leaderelection.ring.RingInstance,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9287843004948269,161,147
com.iluwatar.leaderelection.bully.BullyApp,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,107,107
