GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
singleton,com.iluwatar.singleton,BillPughImplementation.InstanceHolder,0,5,0,0,0,1,0,1,0,1
singleton,com.iluwatar.singleton,BillPughImplementation,0,2,0,0,0,1,0,1,0,1
singleton,com.iluwatar.singleton,ThreadSafeLazyLoadedIvoryTower,5,13,1,3,1,6,1,3,0,2
singleton,com.iluwatar.singleton,InitializingOnDemandHolderIdiom.HelperHolder,0,5,0,0,0,1,0,1,0,1
singleton,com.iluwatar.singleton,IvoryTower,0,7,0,0,0,2,0,2,0,2
singleton,com.iluwatar.singleton,App,3,77,0,0,1,26,1,2,1,2
singleton,com.iluwatar.singleton,EnumIvoryTower,0,21,0,0,0,3,0,2,0,2
singleton,com.iluwatar.singleton,InitializingOnDemandHolderIdiom,0,2,0,0,0,1,0,1,0,1
singleton,com.iluwatar.singleton,ThreadSafeDoubleCheckLocking,0,33,1,5,0,13,1,4,0,2
