TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.iluwatar.parameter.object.SearchService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,54,47
com.iluwatar.parameter.object.ParameterObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8689458689458689,127,121
