GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
command,com.iluwatar.command,Visibility,0,29,0,0,0,4,0,2,0,2
command,com.iluwatar.command,Target,0,51,0,4,0,11,0,7,0,5
command,com.iluwatar.command,Size,0,29,0,0,0,4,0,2,0,2
command,com.iluwatar.command,App,3,45,0,0,1,16,1,1,1,1
command,com.iluwatar.command,Goblin,0,11,0,0,0,5,0,2,0,2
command,com.iluwatar.command,Wizard,2,59,2,2,1,17,3,5,1,5
