TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.iluwatar.doubledispatch.Meteoroid,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9642857142857143,50,48
com.iluwatar.doubledispatch.FlamingAsteroid,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,16,15
com.iluwatar.doubledispatch.SpaceStationIss,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,14,13
com.iluwatar.doubledispatch.Meteoroid,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9791666666666667,49,48
com.iluwatar.doubledispatch.FlamingAsteroid,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,16,15
