TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.iluwatar.dependency.injection.GuiceWizard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,14,14
com.iluwatar.dependency.injection.AdvancedSorceress,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,18,17
com.iluwatar.dependency.injection.GuiceWizard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,15,14
com.iluwatar.dependency.injection.AdvancedSorceress,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,18,17
com.iluwatar.dependency.injection.GuiceWizard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,15,14
