GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
circuit-breaker,com.iluwatar.circuitbreaker,State,0,34,0,0,0,4,0,1,0,1
circuit-breaker,com.iluwatar.circuitbreaker,DelayedRemoteService,0,41,0,2,0,12,0,4,0,3
circuit-breaker,com.iluwatar.circuitbreaker,App,87,0,0,0,23,0,3,0,3,0
circuit-breaker,com.iluwatar.circuitbreaker,MonitoringService,4,23,0,0,2,9,0,4,0,4
circuit-breaker,com.iluwatar.circuitbreaker,DefaultCircuitBreaker,29,109,3,6,8,35,3,9,1,6
circuit-breaker,com.iluwatar.circuitbreaker,RemoteServiceException,0,4,0,0,0,2,0,1,0,1
circuit-breaker,com.iluwatar.circuitbreaker,QuickRemoteService,0,5,0,0,0,2,0,2,0,2
