GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chain-of-responsibility,com.iluwatar.chain,OrcCommander,0,28,0,2,0,8,0,7,0,6
chain-of-responsibility,com.iluwatar.chain,OrcSoldier,0,28,0,2,0,8,0,7,0,6
chain-of-responsibility,com.iluwatar.chain,OrcKing,0,51,0,0,0,12,0,5,0,5
chain-of-responsibility,com.iluwatar.chain,App,3,26,0,0,1,5,1,1,1,1
chain-of-responsibility,com.iluwatar.chain,OrcOfficer,1,27,1,1,0,8,1,6,0,6
chain-of-responsibility,com.iluwatar.chain,Request,0,29,0,0,0,10,0,6,0,6
chain-of-responsibility,com.iluwatar.chain,RequestType,0,34,0,0,0,4,0,1,0,1
