GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parameter-object,com.iluwatar.parameter.object,SortOrder,0,37,0,0,0,7,0,3,0,3
parameter-object,com.iluwatar.parameter.object,SearchService,0,42,0,0,0,7,0,5,0,5
parameter-object,com.iluwatar.parameter.object,App,3,23,0,0,1,8,1,2,1,2
parameter-object,com.iluwatar.parameter.object,ParameterObject,0,85,1,5,0,19,1,12,0,10
parameter-object,com.iluwatar.parameter.object,ParameterObject.Builder,0,20,0,0,0,7,0,4,0,4
